image_index,image_name,sigma,psnr_sure,ssim_sure,time_sure,psnr_energy,ssim_energy,time_energy
43,0042.png,30,31.1781,0.884739,84.70,30.5525,0.874079,83.66
43,0042.png,50,28.0140,0.819699,90.32,27.3771,0.808226,89.30
44,0043.png,10,31.4408,0.915146,78.40,32.3473,0.926422,77.31
44,0043.png,30,26.0233,0.721902,84.76,26.3255,0.731936,83.54
44,0043.png,50,23.9239,0.630361,90.56,23.7925,0.570458,88.92
45,0044.png,10,33.1746,0.892884,78.45,33.6387,0.902674,77.67
45,0044.png,30,27.8532,0.760820,84.97,27.8274,0.759958,83.81
45,0044.png,50,25.4547,0.698785,90.39,25.4881,0.700106,89.26
46,0045.png,10,34.5141,0.945473,78.34,34.7525,0.945063,77.15
46,0045.png,30,28.6280,0.844924,84.45,28.4306,0.840673,83.50
46,0045.png,50,25.8329,0.780352,90.51,25.5598,0.768549,88.78
47,0046.png,10,31.5566,0.938534,78.50,32.6469,0.944650,78.04
47,0046.png,30,25.9022,0.757168,84.80,26.2672,0.779243,83.63
47,0046.png,50,22.9940,0.586287,90.33,23.3054,0.607212,88.90
48,0047.png,10,36.6328,0.922075,78.49,36.8857,0.927518,77.55
48,0047.png,30,31.7456,0.816095,84.89,31.5646,0.812143,83.79
48,0047.png,50,30.1104,0.776689,90.60,29.8947,0.773306,89.65
49,0048.png,10,30.1907,0.893790,78.25,31.0871,0.907830,77.15
49,0048.png,30,24.6096,0.683315,84.44,24.8318,0.701522,83.40
49,0048.png,50,22.0017,0.545346,90.24,22.1787,0.558958,89.11
50,0049.png,10,30.5375,0.915443,78.21,31.4132,0.921000,77.11
50,0049.png,30,24.6149,0.641947,84.97,24.9642,0.670154,83.42
50,0049.png,50,22.2638,0.474416,90.40,22.4822,0.490950,89.44
51,0050.png,10,34.2294,0.873369,78.60,34.7014,0.886936,77.52
51,0050.png,30,30.1319,0.782491,84.85,30.1632,0.783797,83.76
51,0050.png,50,28.4970,0.745212,90.51,28.3067,0.741716,89.30
52,0051.png,10,30.6413,0.901669,78.53,31.4342,0.912178,77.14
52,0051.png,30,25.1617,0.667383,84.64,25.5198,0.691892,83.06
52,0051.png,50,23.1945,0.555158,90.34,23.3049,0.563360,89.20
53,0052.png,10,31.9854,0.904531,78.29,32.6987,0.915496,77.16
53,0052.png,30,26.4929,0.744520,84.12,26.5213,0.746457,86.48
53,0052.png,50,23.7177,0.659507,90.23,23.7307,0.661930,88.51
54,0053.png,10,34.6247,0.880491,78.70,35.2049,0.900419,77.70
54,0053.png,30,30.5632,0.795525,85.11,30.3566,0.791929,83.90
54,0053.png,50,28.6581,0.752807,90.55,28.2832,0.745821,89.44
55,0054.png,10,34.1155,0.862977,78.63,34.4256,0.875776,77.67
55,0054.png,30,29.6188,0.717004,85.00,29.5120,0.713925,83.88
55,0054.png,50,28.2983,0.678537,90.78,28.1746,0.676611,89.35
56,0055.png,10,33.0341,0.910385,78.07,33.3122,0.913390,77.12
56,0055.png,30,27.3414,0.763554,84.38,27.2617,0.761399,83.24
56,0055.png,50,24.8483,0.667579,90.22,24.5798,0.655451,88.95
57,0056.png,10,31.5145,0.901696,78.23,31.9138,0.905826,77.13
57,0056.png,30,25.4963,0.673730,84.71,25.6151,0.682773,83.39
